# minimal even eigenvector as a function on the centred window log u in [-L/2, L/2], unit L^2(d*u) norm;
# recomputed (multiprecision midpoint inverse iteration on zst's even block); Rayleigh quotient = certified eps
x,N,log_u,xi(u)
25,150,0.7081526815,0.002494370799
25,150,0.7242470606,0.001707356175
25,150,0.7403414397,0.001149425872
25,150,0.7564358188,0.0007605867584
25,150,0.772530198,0.0004943459528
25,150,0.7886245771,0.0003153672027
25,150,0.8047189562,0.000197323488
25,150,0.8208133353,0.0001209970198
25,150,0.8369077145,7.265132976e-05
25,150,0.8530020936,4.267820361e-05
25,150,0.8690964727,2.450547099e-05
25,150,0.8851908518,1.374021946e-05
25,150,0.901285231,7.515440431e-06
25,150,0.9173796101,4.005689511e-06
25,150,0.9334739892,2.078106382e-06
25,150,0.9495683683,1.048100949e-06
25,150,0.9656627475,5.132511214e-07
25,150,0.9817571266,2.43703473e-07
25,150,0.9978515057,1.120408355e-07
25,150,1.013945885,4.979809783e-08
25,150,1.030040264,2.136327117e-08
25,150,1.046134643,8.830639182e-09
25,150,1.062229022,3.510641476e-09
25,150,1.078323401,1.339665297e-09
25,150,1.09441778,4.896735208e-10
25,150,1.11051216,1.710550451e-10
25,150,1.126606539,5.696762605e-11
25,150,1.142700918,1.80405027e-11
25,150,1.158795297,5.41706925e-12
25,150,1.174889676,1.537668909e-12
25,150,1.190984055,4.112806363e-13
25,150,1.207078434,1.033180797e-13
25,150,1.223172813,2.414529255e-14
25,150,1.239267193,5.276988685e-15
25,150,1.255361572,1.123831015e-15
25,150,1.271455951,1.655255802e-16
25,150,1.28755033,1.218050234e-16
25,150,1.303644709,2.019055016e-16
25,150,1.319739088,-1.850057489e-17
25,150,1.335833467,-1.197499116e-16
25,150,1.351927846,5.019182374e-17
25,150,1.368022226,3.463536313e-16
25,150,1.384116605,2.713461596e-16
25,150,1.400210984,-2.168631495e-16
25,150,1.416305363,5.420820484e-18
25,150,1.432399742,1.53636904e-17
25,150,1.448494121,-2.782368378e-16
25,150,1.4645885,-3.153491586e-16
25,150,1.480682879,-3.321267391e-16
25,150,1.496777259,-6.903213756e-17
25,150,1.512871638,9.498580505e-17
25,150,1.528966017,-2.892377402e-17
25,150,1.545060396,-9.293417588e-17
25,150,1.561154775,-1.627650435e-16
25,150,1.577249154,-1.54245958e-16
25,150,1.593343533,-2.861593548e-17
25,150,1.609437912,-5.287034421e-17
50,360,-1.956011503,-3.440709031e-17
50,360,-1.936451388,-7.623248716e-17
50,360,-1.916891273,4.053009213e-17
50,360,-1.897331158,-1.06085949e-16
50,360,-1.877771043,6.440147496e-17
50,360,-1.858210928,-6.311922016e-17
50,360,-1.838650813,-2.231610753e-17
50,360,-1.819090698,-2.648024911e-16
50,360,-1.799530582,-4.39453231e-19
50,360,-1.779970467,-2.695518861e-18
50,360,-1.760410352,-6.925635301e-17
50,360,-1.740850237,3.882285169e-16
50,360,-1.721290122,-3.606534583e-16
50,360,-1.701730007,-4.518070649e-17
50,360,-1.682169892,-1.627542453e-16
50,360,-1.662609777,1.23195838e-16
50,360,-1.643049662,3.987915656e-17
50,360,-1.623489547,1.615033561e-16
50,360,-1.603929432,-3.707962994e-16
