# rtp2_ellcurve; author codex:gpt-6-astra; FLINT 3.0.1; certified forms/eigenpairs; PARI comparisons approximate
# curve=11a1 C=11 rank=0 root_number=1; gamma (Q,d,mu)=(1/(2pi),1,1); no poles
# CONTROL_SPECTRUM object=11a1 x=13 N=60 prec=384; gamma includes conductor shift; no atoms
SPECTRUM object=11a1 block=O index=17 eigenvalue=[6.15517332116 +/- 4.95e-12] lower_count=16 upper_count=17 certified=1
SPECTRUM object=11a1 block=O index=18 eigenvalue=[6.27108918367 +/- 8.64e-12] lower_count=17 upper_count=18 certified=1
SPECTRUM object=11a1 block=O index=19 eigenvalue=[6.38065213402 +/- 4.25e-12] lower_count=18 upper_count=19 certified=1
SPECTRUM object=11a1 block=O index=20 eigenvalue=[6.48452250208 +/- 5.29e-12] lower_count=19 upper_count=20 certified=1
SPECTRUM object=11a1 block=O index=21 eigenvalue=[6.58326275494 +/- 6.99e-12] lower_count=20 upper_count=21 certified=1
SPECTRUM object=11a1 block=O index=22 eigenvalue=[6.67735592621 +/- 7.24e-12] lower_count=21 upper_count=22 certified=1
SPECTRUM object=11a1 block=O index=23 eigenvalue=[6.76721990201 +/- 4.31e-12] lower_count=22 upper_count=23 certified=1
SPECTRUM object=11a1 block=O index=24 eigenvalue=[6.85321863352 +/- 4.77e-12] lower_count=23 upper_count=24 certified=1
SPECTRUM object=11a1 block=O index=25 eigenvalue=[6.93567103682 +/- 5.91e-12] lower_count=24 upper_count=25 certified=1
SPECTRUM object=11a1 block=O index=26 eigenvalue=[7.01485812979 +/- 4.98e-12] lower_count=25 upper_count=26 certified=1
SPECTRUM object=11a1 block=O index=27 eigenvalue=[7.09102880921 +/- 4.81e-12] lower_count=26 upper_count=27 certified=1
SPECTRUM object=11a1 block=O index=28 eigenvalue=[7.16440456755 +/- 8.04e-12] lower_count=27 upper_count=28 certified=1
SPECTRUM object=11a1 block=O index=29 eigenvalue=[7.23518337479 +/- 5.65e-12] lower_count=28 upper_count=29 certified=1
SPECTRUM object=11a1 block=O index=30 eigenvalue=[7.30354289651 +/- 5.18e-12] lower_count=29 upper_count=30 certified=1
SPECTRUM object=11a1 block=O index=31 eigenvalue=[7.36964318007 +/- 6.82e-12] lower_count=30 upper_count=31 certified=1
SPECTRUM object=11a1 block=O index=32 eigenvalue=[7.43362891097 +/- 7.32e-12] lower_count=31 upper_count=32 certified=1
SPECTRUM object=11a1 block=O index=33 eigenvalue=[7.49563131946 +/- 3.70e-12] lower_count=32 upper_count=33 certified=1
SPECTRUM object=11a1 block=O index=34 eigenvalue=[7.55576980044 +/- 6.93e-12] lower_count=33 upper_count=34 certified=1
SPECTRUM object=11a1 block=O index=35 eigenvalue=[7.61415329708 +/- 5.02e-12] lower_count=34 upper_count=35 certified=1
SPECTRUM object=11a1 block=O index=36 eigenvalue=[7.67088148832 +/- 3.94e-12] lower_count=35 upper_count=36 certified=1
SPECTRUM object=11a1 block=O index=37 eigenvalue=[7.72604581277 +/- 4.16e-12] lower_count=36 upper_count=37 certified=1
SPECTRUM object=11a1 block=O index=38 eigenvalue=[7.77973035547 +/- 7.59e-12] lower_count=37 upper_count=38 certified=1
SPECTRUM object=11a1 block=O index=39 eigenvalue=[7.83201261906 +/- 6.85e-12] lower_count=38 upper_count=39 certified=1
SPECTRUM object=11a1 block=O index=40 eigenvalue=[7.88296419722 +/- 5.16e-12] lower_count=39 upper_count=40 certified=1
SPECTRUM object=11a1 block=O index=41 eigenvalue=[7.93265136492 +/- 8.37e-12] lower_count=40 upper_count=41 certified=1
SPECTRUM object=11a1 block=O index=42 eigenvalue=[7.98113559792 +/- 7.61e-12] lower_count=41 upper_count=42 certified=1
SPECTRUM object=11a1 block=O index=43 eigenvalue=[8.02847403175 +/- 8.00e-12] lower_count=42 upper_count=43 certified=1
SPECTRUM object=11a1 block=O index=44 eigenvalue=[8.07471986882 +/- 7.23e-12] lower_count=43 upper_count=44 certified=1
SPECTRUM object=11a1 block=O index=45 eigenvalue=[8.11992274123 +/- 4.71e-12] lower_count=44 upper_count=45 certified=1
SPECTRUM object=11a1 block=O index=46 eigenvalue=[8.16412903574 +/- 5.65e-12] lower_count=45 upper_count=46 certified=1
SPECTRUM object=11a1 block=O index=47 eigenvalue=[8.20738218671 +/- 4.10e-12] lower_count=46 upper_count=47 certified=1
SPECTRUM object=11a1 block=O index=48 eigenvalue=[8.24972294249 +/- 6.91e-12] lower_count=47 upper_count=48 certified=1
SPECTRUM object=11a1 block=O index=49 eigenvalue=[8.29118961060 +/- 6.99e-12] lower_count=48 upper_count=49 certified=1
SPECTRUM object=11a1 block=O index=50 eigenvalue=[8.33181828753 +/- 5.91e-12] lower_count=49 upper_count=50 certified=1
SPECTRUM object=11a1 block=O index=51 eigenvalue=[8.37164308052 +/- 4.82e-12] lower_count=50 upper_count=51 certified=1
SPECTRUM object=11a1 block=O index=52 eigenvalue=[8.41069633129 +/- 4.91e-12] lower_count=51 upper_count=52 certified=1
SPECTRUM object=11a1 block=O index=53 eigenvalue=[8.44900885819 +/- 6.78e-12] lower_count=52 upper_count=53 certified=1
SPECTRUM object=11a1 block=O index=54 eigenvalue=[8.48661024639 +/- 8.55e-12] lower_count=53 upper_count=54 certified=1
SPECTRUM object=11a1 block=O index=55 eigenvalue=[8.52352924648 +/- 5.72e-12] lower_count=54 upper_count=55 certified=1
SPECTRUM object=11a1 block=O index=56 eigenvalue=[8.55979441892 +/- 4.99e-12] lower_count=55 upper_count=56 certified=1
SPECTRUM object=11a1 block=O index=57 eigenvalue=[8.59543538474 +/- 4.03e-12] lower_count=56 upper_count=57 certified=1
SPECTRUM object=11a1 block=O index=58 eigenvalue=[8.63048581403 +/- 5.93e-12] lower_count=57 upper_count=58 certified=1
SPECTRUM object=11a1 block=O index=59 eigenvalue=[8.66499283179 +/- 6.73e-12] lower_count=58 upper_count=59 certified=1
SPECTRUM object=11a1 block=O index=60 eigenvalue=[8.69906479746 +/- 4.83e-12] lower_count=59 upper_count=60 certified=1
