zst: x = 50 (prime powers <= 50), N = 500, prec = 2100 bits, L = [3.91202300542815 +/- 3.95e-15]
matrix build: 4.29s
minimal even eigenvalue eps_N = [2.161475058e-258 +/- 2.62e-268]  (Rump-certified, 131.45s)
even-simple hypothesis (deflated Cholesky of E - 2 eps and O - 2 eps): CERTIFIED  (93.12s)
xi_0 = [1.388132192e+127 +/- 4.89e+117], xi_1 = [-1.309002223e+127 +/- 6.40e+116], xi_N = [0.00030039 +/- 1.08e-9]
positive secular roots: 500 certified of N = 500, 0 unresolved  ->  spectrum COMPLETE  (223.47s)

  k   z_k = 2 pi s_k / L                                   |z_k - gamma_k| <=
306   550.9700100394964688080604267074766995926   1.26e-11
307   552.0495722005792013456954954048577345486   1.43e-11
308   553.7649721191710893218879927083004063762   1.23e-11
309   555.7920205618116080674400225584526915946   1.29e-10
310   556.8994764080394215969945534347190112386   1.18e-9
311   557.5646591732791015988093607949360369532   1.22e-9
312   559.3162370294416190886283189884951956630   7.59e-10
313   560.2408074979155338271824987304376847564   6.20e-10
314   562.5592076168954951262292022636805991675   8.50e-10
315   564.1608791502856048970061480502996233586   3.95e-8
316   564.5060559821666499442729932824091707410   4.40e-8
317   566.6987877008306006823106527976972780606   1.80e-8
318   567.7317579501987904555268209713465652766   4.90e-8
319   568.9239552363445233016564290888775891404   5.67e-8
320   570.0511148121559946552988160638829389268   2.97e-8
321   572.4199841949220666882817485392114298420   6.25e-8
322   573.6146107945359510651796381087917532730   2.68e-7
323   575.0938878899334639060827459640828125073   1.88e-6
324   575.8072498221468611035932910895197254423   2.68e-6
325   577.0390042629583649508360396375877775995   7.91e-7
326   579.0988357695828281715088228297486430059   1.10e-6
327   580.1369611003470925070427410842638021618   1.74e-6
328   581.9465794394749410077161030321928564016   3.17e-6
329   583.2360973721474710471192476887749282336   9.15e-6
330   584.5617250908121845944664278705254338088   1.92e-5
331   585.9846364498991599069020182597611563072   7.32e-5
332   586.7428468329765802567645824696585697490   7.49e-5
333   588.1396790799026373408060947433734423069   1.58e-5
334   590.6604657021329302322779615993091679340   6.82e-5
335   591.7263161647206032630596991617467224496   0.000458
336   592.5719060896030113229356276585273907989   0.000548
337   593.9749936880137158849898648159973910560   0.000279
338   595.7291785933185912168678938864928284816   0.00102
339   596.3637460260238394830079435972376489116   0.000978
340   598.4935920401759731428521651052132231062   0.000515
341   599.5463579237682765884389000884391142185   0.000718
342   601.6051059030653082666518747309806331480   0.00297
343   602.5899009269805611750670715363637962906   0.0107
344   603.6394555266864342849425543531440508578   0.0138
345   604.6225597767982918839061305330487912138   0.00634
346   606.3851886819533672824977765965549074745   0.00173
347   608.4204981728716916509980339382239733325   0.00728
348   609.4067787672419347085499427332782070627   0.0172
349   610.8704215874755951095326795147992860544   0.0313
350   611.8047507255598462760062197900079493022   0.0305
351   613.6330377516221588152810740688068892449   0.0333
352   614.7145098423146104498630980522774651783   0.0683
353   615.5692865982927618415733690961177426551   0.0307
354   618.1375770930954092328915804460887869977   0.0247
355   619.2788364482839647426830711949813661209   0.0944
356   620.4014521490885969358296746204628014860   0.129
357   621.9358234384626531153126094701189365715   0.227
358   622.6909590798759796020392050992155030841   0.316
359   624.3020726238879570324367684841082546093   0.0322
360   626.0649062942297426251078584255700714701   0.0456
361   627.3588908731897031858124952681481930594   0.0905
362   628.3884278344409539104835842108268981923   0.0626
363   630.6212292754200656536478637204238690137   0.147
364   632.1427712952830904377477430304018719874   1.34
365   633.4852882118573037632403751145983884335   1.26
366   635.1349444723371923196412260579805717502   1.59
367   635.6796289259076747899164792490629559889   0.156
368   637.6052745446686209808180194250734511123   0.208
369   638.8227203633486104824204869005631460422   0.897
370   640.6451931797701082070232814769578315463   1.72
371   641.9028246458071371421571627541632294791   1.21
372   643.2630534623431385570112220683007529779   1.32
373   644.9927686839490587053295142475766032905   1.71
374   646.3784599325109143434906009852702011014   1.39
375   647.8748106061656396926426637396932984077   1.53
376   648.9850863084942475327560139033464174564   1.22
377   650.4713228441552040777078432910907241836   1.68
378   652.1298513634383829764432896391814502820   1.93
379   653.8543252215170937780464539063118810914   3.19
380   655.1625095383074739614280759989550384048   1.51
381   656.4368772466610030274201086241137575336   2.13
382   657.8201804394840876941401497363127757265   2.11
383   659.3149295404115227802330304799242676717   2.35
384   660.5302503997840558440707899160845071821   2.35
385   662.2267578024427321350933047219477146454   2.56
386   664.1196216643783868342391791670276472778   3.40
387   665.2046169316674056608750171109705830843   2.91
388   666.5992258918927811889701408180956301320   2.35
389   667.4253338860671210233288806020127524825   2.08
390   669.0658499323422787175224949090575312349   2.55
391   670.3912260452843551400547248023819085632   3.24
392   672.6584903304819118159971442618773001374   3.68
393   674.0265889728022135757353316339559125516   3.70
394   675.1716736991207792691390145127253924411   2.71
395   676.4602544319019664480079985526722363905   3.42
396   677.6484300308073619110810643350520360395   3.29
397   679.7348466474004760147769666969101712137   3.60
398   681.9642431515695108556645261874616955159   4.73
399   682.8751558040411407363431461793377695065   5.07
400   684.3902616487269451284871130802171288256   4.65
401   685.8214526963623873394987054364262614953   3.93
402   687.3719329394775608101010857736654065411   4.77
403   688.5431148314945221798628789754460881926   4.53
404   689.9774962436847387097480817324975356373   5.00
405   691.2288717776588501343545284635909106553   5.07
406   692.8184481250002224945388621145407693496   4.86
407   694.3950425020332303058121361359839595357   5.03
408   695.7228504971326909011536017160059505612   5.25
409   696.6719373582258854958804534146641215713   4.22
410   699.1999913594530865526031385162667888128   6.02
411   700.5770641143096018524712521731409449554   6.04
412   701.9198921484867149703126587254318690999   6.19
413   703.6772837747580863905862457175558902589   7.05
414   704.8043137761942736847089410991038935442   5.67
415   706.0834327591431433241475362214196154702   5.79
416   708.2327812393697203934864740940949529275   6.93
417   709.2300124489925923011438547232917254962   7.00
418   711.2721832382739682966667140708356314856   7.24
419   712.4516276226728491835758967827788557833   7.33
420   713.9810048052921014702636524038323694084   7.80
421   715.9927542246087566386407646888776524254   7.72
422   717.2468833973362790999011404726491305543   8.02
423   718.5238662243475294202075887962543823626   7.39
424   719.6653850812234704724097970022279396379   7.77
425   721.5151878614474435207357157284057394658   8.77
426   722.6474245825573768620711793606876549058   8.56
427   724.2260401480415336353807444958762464959   8.11
428   725.3937266487322145321675781025669479906   7.91
429   727.1475649400134587813956915447956145357   8.40
430   728.6240583854463426567633672459965689341   8.93
431   730.5209259435209678013685394529723282645   9.17
432   731.6650009158448430432542015716647767396   9.39
433   732.9703217080387231843783594879841110058   9.12
434   735.0157092397212321934277516512164421413   10.5
435   736.3668459556401518025446144242204255571   9.31
436   737.6788827368103364027357030496163886441   9.27
437   739.0187069479008992425182321446832286613   10.3
438   740.3655425119286169843067213693399270211   9.95
439   741.7557765032137287167707060675183989945   10.3
440   743.9299875037357869485865594625821919026   11.1
441   745.4784863581627793003966429387442423986   10.7
442   746.7844770372800622171878436599422802822   11.0
443   748.0661905759685639431234254294546273794   11.0
444   750.6006941033951601488730125636079698245   12.0
445   751.0277917536020425478777338051361434396   11.1
446   752.9533355318901440596779549213030322588   12.4
447   754.4455985607970269202823233227651558386   12.7
448   756.1317598723938330542865770375923222797   12.2
449   757.4521697369166453262254491391936115459   12.1
450   758.6929663043935441492262545146148479522   12.2
451   760.2598633574510733125711037081939259913   12.6
452   762.7545562735373658822007044089924764970   14.5
453   763.9424368160399826270834773541712377994   13.3
454   765.4707387041295921244313720390387061100   14.5
455   766.6680821804636617983320382136828040040   13.8
456   768.0390824517411595131179700069281164354   13.7
457   769.6147579364006517281606639532705831583   13.8
458   771.0620021703197631089139549031870922905   14.3
459   773.0280113418268134210043097726589542232   14.9
460   774.4120318919177867524335698834132386507   15.5
461   775.7221778754289390274416299916246902063   15.4
462   777.2201873635907678300112392129109071163   14.5
463   779.1297446967754501022708020780632220982   15.5
464   780.3593793633769041411916920841040496998   16.1
465   782.3247265993699794664973428521271130038   16.2
466   783.9053957702741255861063251266786610348   16.7
467   784.9175069271445893302918716502652245113   16.6
468   786.2022912016643146922565679960775514263   16.5
469   787.4451285757320806855538183145943839667   16.4
470   790.1308004647435923456137239194247823485   17.2
471   791.0264341608517045473202094754992714823   16.9
472   792.6819080781955404467245085775521347454   17.6
473   794.4799581988373818508576578601322434876   18.5
474   795.6838514209913350161933656289634996973   18.4
475   797.3960203025966252060524162262093062458   18.2
476   799.0479646462238518757252072084706804652   18.7
477   800.2781149550730082821433896378931575955   18.1
478   801.9953830906812999846449903862276889336   19.4
479   803.2721281108969694257646258613608618487   19.0
480   825.8452447803895562894717495134677008144   40.1
481   858.8185311601831840810724219368324846597   72.4
482   896.3286383504366663302952805211533719584   1.09e+2
483   939.1413352081420136093025402305253015388   1.49e+2
484   988.2754059569835835812581917921241471332   1.97e+2
485   1044.430909419729399904282125606390574390   2.52e+2
486   1109.380291852587540892436832677230660601   3.16e+2
487   1186.726768759241703314880770604722415963   3.92e+2
488   1273.766077906930369527716359272834525490   4.78e+2
489   1376.994688403793125506039209944994192490   5.80e+2
490   1502.419582255270399010206800850432825227   7.04e+2
491   1651.607879479293170712491737319143146408   8.52e+2
492   1841.713339428627709249765638480263563794   1.04e+3
493   2082.086363625400120998309040242286505824   1.28e+3
494   2395.976300019102191232441582243734324054   1.59e+3
495   2826.848156222412037049179604762366384547   2.02e+3
496   3452.631735554642803749114233519294075406   2.65e+3
497   4441.535071124933304997087340590214362245   3.63e+3
498   6234.937686587967563358610204864014205850   5.43e+3
499   10477.55135619636336647020346570457344666   9.67e+3
500   32933.47542978787069280004727334733753938   3.21e+4

total 457.21s
wall 457.328872592 s  maxrss 2012 KB
