zst: x = 60 (prime powers <= 60), N = 600, prec = 2500 bits, L = [4.09434456222210 +/- 6.85e-16]
matrix build: 7.37s
minimal even eigenvalue eps_N = [1.540352972e-312 +/- 2.56e-322]  (Rump-certified, 156.54s)
even-simple hypothesis (deflated Cholesky of E - 2 eps and O - 2 eps): CERTIFIED  (121.00s)
xi_0 = [1.437772675e+154 +/- 1.61e+144], xi_1 = [-1.362558271e+154 +/- 3.48e+144], xi_N = [0.0012120 +/- 4.45e-8]
positive secular roots: 358 certified of N = 600, 242 unresolved  ->  spectrum incomplete  (5406.37s)

  k   z_k = 2 pi s_k / L                                   |z_k - gamma_k| <=
333   588.1396632662479564175542352704907998231   1.45e-32
334   590.6603975167652756310320033102744217276   1.47e-31
335   591.7258580650480566492224464727419804689   1.42e-30
336   592.5713583002255698207727161203187514410   2.28e-30
337   593.9747146822310292438051745093835221032   1.90e-30
338   595.7281536973889491770209207328808063576   1.30e-29
339   596.3627683283936840895790970704778966958   1.55e-29
340   598.4930773461647544010635829361278997763   1.78e-29
341   599.5456403643648539975153951444822306929   3.68e-29
342   601.6021367359326360517381075963032270452   3.35e-28
343   602.5791678863873542988227245445885693287   1.75e-27
344   603.6256189035791606722439668607837872324   3.33e-27
345   604.6162184937532329146396027908762441529   2.23e-27
346   606.3834604221090410886743112411339426589   1.25e-27
347   608.4132173111873251751267237696094215874   1.24e-26
348   609.3895751547200805273238795917952905574   4.39e-26
349   610.8391629377394069267025379163251315737   1.49e-25
350   611.7742096208872046351683621810049029626   2.08e-25
351   613.5997786756371194051864567218752969358   5.36e-25
352   614.6462378722326215255530856625771669444   1.67e-24
353   615.5385633694070278534742669493769498276   1.05e-24
354   618.1128313664423733825402305112671926920   3.49e-24
355   619.1844825979536342490281690789320524063   2.27e-23
356   620.2728936722275219190856222077561757702   4.96e-23
357   621.7092945279486229572988335017493449596   2.00e-22
358   624.2699000181778808347730151830099290545   1.89

total 5694.88s
wall 5695.240167436 s  maxrss 2012 KB
